24,109759567,207,11.8,-8.8,-9,0,3
25,109759617,92,96.6,-6.4,-13.5,0.5,3
25,109759617,101,111.8,0.6,15,-0.5,4
25,109759617,167,106.2,8.6,12.75,0.25,3
25,109759617,207,11.4,-8.8,-9,0,3
26,109759667,92,96,-6.2,-13.5,0.5,3
26,109759667,101,112.4,0.6,14.75,-0.75,5
26,109759667,167,106.8,8.6,12.75,0.25,3
27,109759717,92,95.4,-6.2,-13.5,0.75,3
27,109759717,101,113.2,0.6,14.75,-0.5,5
27,109759717,167,107.4,8.6,12.75,0.25,3
28,109759767,92,94.6,-6.2,-13.5,0.5,3
28,109759767,101,114,0.6,14.5,-0.5,5
28,109759767,167,108.2,8.6,12.75,0.25,3
29,109759817,92,94,-6.2,-13.5,0.5,3
29,109759817,101,114.6,0.4,14.5,-0.5,5
29,109759817,167,108.8,8.6,12.5,0.25,3
30,109759867,92,93.4,-6.2,-13.5,0.5,3
30,109759867,101,115.4,0.6,14.5,-0.5,5
30,109759867,167,109.4,8.6,12.5,0,3
31,109759917,92,92.6,-6.2,-13.5,0.5,3
31,109759917,101,116.2,0.6,14.5,-0.5,5
31,109759917,167,110,8.6,12.5,0,3
32,109759967,92,92,-6.2,-13.5,0.5,3
32,109759967,101,116.8,0.6,14.25,-0.5,5
32,109759967,167,110.6,8.6,12.5,0,3
33,109760017,92,91.4,-6,-13.5,0.5,3
33,109760017,101,117.6,0.4,14.25,-0.5,5
33,109760017,167,111.2,8.6,12.5,0,3
34,109760067,92,90.6,-6,-13.75,0.5,3
34,109760067,101,118.2,0.6,14.25,-0.5,4
34,109760067,167,112,8.6,12.5,0,3
35,109760117,92,90,-6.2,-13.75,0.5,3
35,109760117,101,119,0.6,14.25,-0.5,4
35,109760117,167,112.6,8.6,12.5,0,3
36,109760167,92,89.4,-6,-13.75,0.5,3
36,109760167,101,119.8,0.6,14.25,-0.5,4
36,109760167,167,113.2,8.6,12.5,0,3
37,109760217,92,88.6,-6,-13.75,0.5,3
37,109760217,101,120.4,0.6,14.25,-0.5,4
37,109760217,167,113.8,8.4,12.5,0,3
38,109760268,92,88,-6,-13.75,0.5,3
38,109760268,101,121.2,0.4,14.25,-0.5,4
38,109760268,167,114.4,8.6,12.5,0,3
39,109760317,92,87.2,-6,-13.75,0.5,3
39,109760317,101,121.8,0.4,14.25,-0.5,4
39,109760317,167,115,8.6,12.5,0,3
40,109760368,92,86.6,-6,-13.75,0.5,3
40,109760368,101,122.6,0.4,14.25,-0.5,4
40,109760368,167,115.6,8.8,12.5,0.25,3
41,109760417,92,86,-5.8,-13.75,0.5,3
41,109760417,101,123.2,0.4,14.25,-0.5,4
41,109760417,167,116.2,8.8,12.5,0.25,3
42,109760467,92,85.2,-6,-13.75,0.5,3
42,109760467,101,124,0.4,14.25,-0.5,4
42,109760467,167,117,9,12.5,0.25,3
43,109760517,92,84.6,-5.8,-13.75,0.5,3
43,109760517,101,124.8,0.4,14.25,-0.5,4
43,109760517,167,117.6,9,12.5,0.25,3
44,109760567,92,83.8,-5.8,-13.75,0.5,3
44,109760567,101,125.4,0.4,14.25,-0.5,4
44,109760567,167,118.2,9,12.5,0.5,3
45,109760617,92,83.2,-6,-13.75,0.25,3
45,109760617,101,126.2,0.4,14.25,-0.5,4
45,109760617,167,118.8,9,12.5,0.5,3
46,109760667,92,82.6,-6,-13.75,0.25,3
46,109760667,101,126.8,0.4,14.25,-0.5,4
46,109760667,167,119.4,9,12.5,0.5,3
47,109760717,92,81.8,-6,-13.75,0.25,3
47,109760717,101,127.6,0.4,14.25,-0.5,4
47,109760717,167,120,9,12.5,0.5,3
48,109760767,92,81.2,-6,-13.75,0.25,3
48,109760767,167,120.6,9.2,12.5,0.5,3
49,109760817,92,80.4,-5.8,-13.75,0.25,3
49,109760817,167,121.4,9.2,12.5,0.5,3
50,109760867,92,79.8,-5.8,-13.75,0.25,3
50,109760867,167,122,9.2,12.5,0.5,3
51,109760917,92,79.2,-5.8,-13.75,0.25,3
51,109760917,167,122.6,9.2,12.5,0.5,3
52,109760967,92,78.4,-5.8,-13.75,0.25,3
52,109760967,167,123.2,9.2,12.5,0.5,3
53,109761017,92,77.8,-5.8,-14,0.25,3
